time;icache.misses;cpu/instructions;arith.fpu_div_active;mem_uops_retired.all_loads;mem_uops_retired.all_stores;branch_instruction_retired;Branch_Misses_Retired;mem_load_uops_retired.l1_miss;label
0.1;33000;492000000;1089000;1100000;1100000;6400000;22000;207000;8
0.2;33000;498000000;1097000;1100000;1100000;6500000;23000;208000;8
0.30000000000000004;32000;499000000;1097000;1100000;1100000;6520000;22000;209000;8
0.4;33000;488000000;1093000;1100000;1100000;6470000;22000;207000;8
0.5;32000;491000000;1094000;1100000;1100000;6460000;24000;207000;8
0.6000000000000001;33000;492000000;1089000;1100000;1100000;6440000;23000;208000;8
0.7000000000000001;33000;497000000;1094000;1100000;1100000;6460000;23000;206000;8
0.8;33000;497000000;1095000;1100000;1100000;6490000;22000;207000;8
0.9;32000;497000000;1097000;1100000;1100000;6500000;21000;205000;8
1.0;32000;485000000;1086000;1100000;1100000;6440000;22000;204000;8
1.1;32000;485000000;1097000;1100000;1100000;6380000;24000;204000;8
1.2000000000000002;33000;492000000;1089000;1100000;1100000;6430000;24000;204000;8
1.3;33000;495000000;1097000;1100000;1100000;6450000;22000;206000;8
1.4000000000000001;32000;496000000;1089000;1100000;1100000;6460000;22000;204000;8
1.5;33000;494000000;1097000;1100000;1100000;6450000;22000;203000;8
1.6;32000;485000000;1090000;1100000;1100000;6420000;22000;202000;8
1.7000000000000002;33000;486000000;1097000;1100000;1100000;6400000;25000;204000;8
1.8;33000;491000000;1089000;1100000;1100000;6430000;23000;204000;8
1.9000000000000001;32000;494000000;1089000;1100000;1100000;6450000;22000;202000;8
2.0;33000;494000000;1096000;1100000;1100000;6440000;22000;202000;8
2.1;32000;494000000;1097000;1100000;1100000;6450000;22000;202000;8
2.2;33000;482000000;1083000;1100000;1100000;6380000;22000;202000;8
2.3000000000000003;32000;486000000;1089000;1100000;1100000;6390000;24000;202000;8
2.4000000000000004;32000;489000000;1089000;1100000;1100000;6420000;23000;202000;8
2.5;33000;493000000;1089000;1100000;1100000;6420000;22000;201000;8
2.6;32000;493000000;1093000;1100000;1100000;6430000;22000;201000;8
2.7;32000;492000000;1089000;1100000;1100000;6410000;22000;200000;8
2.8000000000000003;33000;484000000;1078000;1100000;1100000;6390000;21000;200000;8
2.9000000000000004;31000;485000000;1089000;1100000;1100000;6380000;24000;200000;8
3.0;33000;488000000;1089000;1100000;1100000;6380000;23000;200000;8
3.1;32000;491000000;1089000;1100000;1100000;6410000;22000;200000;8
3.2;33000;491000000;1089000;1100000;1100000;6410000;22000;200000;8
3.3000000000000003;32000;492000000;1095000;1100000;1100000;6430000;22000;200000;8
3.4000000000000004;32000;482000000;1093000;1100000;1100000;6400000;22000;200000;8
3.5;32000;486000000;1089000;1100000;1100000;6370000;23000;199000;8
3.6;32000;485000000;1089000;1100000;1100000;6370000;24000;200000;8
3.7;31000;492000000;1089000;1100000;1100000;6410000;21000;199000;8
3.8000000000000003;32000;491000000;1097000;1100000;1100000;6420000;22000;200000;8
3.9000000000000004;32000;490000000;1097000;1100000;1100000;6410000;22000;199000;8
4.0;32000;483000000;1084000;1100000;1100000;6400000;21000;199000;8
4.1000000000000005;32000;487000000;1089000;1100000;1100000;6380000;23000;198000;8
4.2;33000;484000000;1097000;1100000;1100000;6330000;24000;201000;8
4.3;32000;489000000;1094000;1100000;1100000;6400000;22000;199000;8
4.4;32000;490000000;1089000;1100000;1100000;6390000;22000;198000;8
4.5;32000;491000000;1097000;1100000;1100000;6400000;22000;198000;8
4.6000000000000005;31000;490000000;1097000;1100000;1100000;6390000;21000;199000;8
4.7;32000;493000000;1088000;1100000;1100000;6960000;30000;229000;8
4.800000000000001;31000;494000000;1097000;1100000;1100000;6860000;26000;224000;8
4.9;33000;488000000;1096000;1100000;1100000;6400000;23000;199000;8
5.0;31000;483000000;1089000;1100000;1100000;6360000;24000;199000;8
5.1000000000000005;33000;488000000;1095000;1100000;1100000;6380000;22000;198000;8
5.2;33000;490000000;1089000;1100000;1100000;6400000;22000;198000;8
5.300000000000001;32000;491000000;1094000;1100000;1100000;6410000;22000;199000;8
5.4;32000;490000000;1097000;1100000;1100000;6410000;22000;199000;8
5.5;32000;479000000;1084000;1100000;1100000;6360000;22000;198000;8
5.6000000000000005;33000;484000000;1096000;1100000;1100000;6350000;24000;200000;8
5.7;32000;487000000;1089000;1100000;1100000;6390000;23000;198000;8
5.800000000000001;32000;491000000;1089000;1100000;1100000;6410000;22000;199000;8
5.9;32000;490000000;1097000;1100000;1100000;6410000;22000;199000;8
6.0;32000;490000000;1094000;1100000;1100000;6410000;21000;199000;8
6.1000000000000005;33000;481000000;1085000;1100000;1100000;6380000;22000;198000;8
6.2;32000;485000000;1089000;1100000;1100000;6370000;24000;199000;8
6.300000000000001;33000;484000000;1089000;1100000;1100000;6360000;23000;198000;8
6.4;32000;491000000;1097000;1100000;1100000;6400000;22000;198000;8
6.5;31000;490000000;1094000;1100000;1100000;6390000;22000;199000;8
6.6000000000000005;32000;491000000;1089000;1100000;1100000;6390000;22000;199000;8
6.7;33000;480000000;1086000;1100000;1100000;6370000;22000;198000;8
6.800000000000001;33000;488000000;1094000;1100000;1100000;6390000;23000;199000;8
