time;icache.misses;cpu/instructions;arith.fpu_div_active;mem_uops_retired.all_loads;mem_uops_retired.all_stores;branch_instruction_retired;Branch_Misses_Retired;mem_load_uops_retired.l1_miss;label
0.1;25000;752000000;1089000;1100000;1095000;11050000;1075000;132000;9
0.2;24000;750000000;1111000;1100000;1106000;10970000;1070000;132000;9
0.30000000000000004;24000;759000000;1100000;1100000;1100000;11000000;1072000;131000;9
0.4;24000;746000000;1100000;1100000;1100000;11010000;1065000;128000;9
0.5;23000;744000000;1100000;1100000;1100000;10990000;1079000;131000;9
0.6000000000000001;24000;737000000;1100000;1100000;1100000;11000000;1080000;127000;9
0.7000000000000001;25000;765000000;1100000;1100000;1100000;11010000;1077000;133000;9
0.8;24000;769000000;1100000;1100000;1100000;11000000;1073000;133000;9
0.9;25000;767000000;1100000;1100000;1100000;11000000;1072000;129000;9
1.0;24000;761000000;1100000;1100000;1100000;11000000;1084000;132000;9
1.1;24000;759000000;1089000;1100000;1096000;11030000;1086000;130000;9
1.2000000000000002;25000;763000000;1111000;1100000;1104000;10970000;1075000;133000;9
1.3;24000;761000000;1100000;1100000;1100000;11000000;1078000;132000;9
1.4000000000000001;24000;766000000;1100000;1100000;1100000;11000000;1075000;133000;9
1.5;24000;767000000;1089000;1100000;1096000;11030000;1075000;132000;9
1.6;26000;757000000;1111000;1100000;1104000;10910000;1068000;129000;9
1.7000000000000002;24000;774000000;1089000;1100000;1093000;11090000;1077000;137000;9
1.8;23000;772000000;1111000;1100000;1107000;10980000;1076000;134000;9
1.9000000000000001;24000;774000000;1100000;1100000;1100000;11000000;1074000;135000;9
2.0;24000;766000000;1093000;1100000;1099000;11020000;1077000;134000;9
2.1;24000;764000000;1107000;1100000;1101000;10990000;1065000;133000;9
2.2;25000;769000000;1100000;1100000;1100000;10990000;1079000;134000;9
2.3000000000000003;23000;774000000;1089000;1100000;1096000;11020000;1078000;134000;9
2.4000000000000004;23000;776000000;1111000;1100000;1104000;10980000;1081000;135000;9
2.5;25000;775000000;1089000;1100000;1100000;11020000;1082000;137000;9
2.6;24000;776000000;1111000;1100000;1100000;10980000;1075000;135000;9
2.7;24000;775000000;1089000;1100000;1096000;11020000;1079000;135000;9
2.8000000000000003;25000;770000000;1100000;1100000;1097000;11000000;991000;142000;9
2.9000000000000004;23000;775000000;1111000;1100000;1107000;10980000;1076000;134000;9
3.0;24000;772000000;1100000;1100000;1100000;11000000;1085000;135000;9
3.1;26000;769000000;1100000;1100000;1100000;11000000;1084000;135000;9
3.2;24000;775000000;1100000;1100000;1100000;11020000;1081000;135000;9
3.3000000000000003;24000;775000000;1100000;1100000;1100000;10980000;1078000;133000;9
3.4000000000000004;24000;773000000;1100000;1100000;1100000;11000000;1085000;135000;9
3.5;25000;770000000;1100000;1100000;1100000;11000000;1080000;127000;9
3.6;24000;560000000;1089000;1100000;1100000;10940000;484000;109000;9
3.7;49000;374000000;1002000;1093000;1100000;11020000;80000;151000;9
3.8000000000000003;355000;535000000;921000;1107000;1100000;10990000;256000;775000;9
3.9000000000000004;980000;744000000;1100000;1100000;1100000;11000000;426000;1100000;9
4.0;979000;747000000;1100000;1100000;1100000;11000000;427000;1100000;9
4.1000000000000005;978000;744000000;1100000;1100000;1100000;11000000;428000;1100000;9
4.2;978000;743000000;1089000;1089000;1089000;10960000;434000;1095000;9
4.3;982000;748000000;1111000;1111000;1111000;11040000;433000;1105000;9
4.4;615000;619000000;1100000;1100000;1100000;11000000;396000;1025000;9
4.5;166000;495000000;1018000;1100000;1100000;11050000;697000;752000;9
4.6000000000000005;47000;723000000;597000;1100000;1100000;10940000;454000;678000;9
4.7;31000;740000000;687000;1100000;1100000;11050000;442000;720000;9
4.800000000000001;33000;778000000;643000;1100000;1100000;10960000;510000;866000;9
4.9;141000;511000000;1056000;1100000;1100000;11000000;592000;792000;9
5.0;176000;617000000;332000;1100000;1100000;11070000;729000;260000;9
5.1000000000000005;23000;802000000;1100000;1100000;1100000;11000000;1068000;88000;9
5.2;25000;804000000;1100000;1100000;1100000;10990000;1063000;89000;9
5.300000000000001;23000;804000000;1100000;1100000;1100000;11010000;1060000;88000;9
5.4;23000;801000000;1100000;1100000;1100000;11000000;1064000;87000;9
5.5;23000;797000000;1089000;1100000;1093000;11000000;1067000;86000;9
5.6000000000000005;23000;800000000;1111000;1100000;1107000;11000000;1073000;87000;9
5.7;23000;803000000;1100000;1100000;1100000;11000000;1061000;86000;9
5.800000000000001;23000;801000000;1100000;1100000;1100000;11000000;1064000;85000;9
5.9;23000;806000000;1089000;1100000;1093000;11000000;1058000;85000;9
6.0;23000;801000000;1100000;1100000;1100000;11000000;1052000;86000;9
6.1000000000000005;23000;804000000;1111000;1100000;1105000;11000000;1057000;84000;9
6.2;24000;795000000;1089000;1100000;1102000;11000000;1054000;89000;9
6.300000000000001;23000;801000000;1111000;1100000;1100000;11000000;1066000;84000;9
6.4;24000;805000000;1100000;1100000;1100000;11000000;1058000;85000;9
6.5;23000;804000000;1089000;1100000;1095000;11000000;1063000;85000;9
6.6000000000000005;23000;797000000;1100000;1100000;1098000;11000000;1074000;84000;9
6.7;23000;792000000;1100000;1100000;1100000;11000000;1074000;83000;9
6.800000000000001;23000;796000000;1100000;1100000;1100000;11000000;1073000;86000;9
6.9;23000;798000000;1096000;1100000;1100000;11000000;1077000;84000;9
7.0;23000;796000000;1111000;1100000;1107000;11000000;1071000;85000;9
7.1000000000000005;23000;802000000;1089000;1100000;1093000;11000000;1063000;84000;9
7.2;24000;797000000;1100000;1100000;1100000;11000000;1070000;85000;9
7.300000000000001;23000;796000000;1100000;1100000;1102000;11000000;1060000;85000;9
7.4;24000;798000000;1111000;1100000;1106000;11000000;1065000;79000;9
7.5;23000;798000000;1100000;1100000;1100000;11000000;1072000;84000;9
7.6000000000000005;23000;798000000;1089000;1100000;1093000;11000000;1072000;84000;9
7.7;23000;797000000;1100000;1100000;1100000;11000000;1075000;85000;9
7.800000000000001;23000;799000000;1100000;1100000;1100000;11000000;1067000;85000;9
7.9;23000;798000000;1111000;1100000;1107000;11000000;1073000;85000;9
8.0;23000;795000000;1100000;1100000;1100000;11000000;1068000;84000;9
8.1;25000;791000000;1089000;1100000;1093000;11000000;1062000;85000;9
